10-02-96    3T2-T= 798K (525C) LaMnO3
     100       0   0.050      20       0       0
   0.000
  47000.      0.    0.00    0.00
19    6019    6119    8319   12819   22619   32019   34619   32719   24219   139
19    8019    6619    6619    6119    6119    5819    6019    6119    7319    88
19   14519   24519   32619   34819   31019   21919   12319    7419    6119    58
19    6019    5819    6019    5719    5919    5719    5619    5919    6319    61
19    6319    6119    5619    5419    5419    5019    5619    5619    5619    57
19    6019    6619    7420    9220   10920   12720   12320   10720    8920    67
20    5920    5520    5920    5820    5420    5520    5320    5620    5720    57
20    5520    5320    5120    5420    5520    5520    5520    5420    5320    53
20    5220    5620    5720    5620    5520    5820    6520    6820    6920    71
20    6720    6320    5920    6020    5920    5520    5820    5720    5620    56
20    6020    6020    6220    7520    8420    9020    8620    7520    6620    62
20    6020    5920    5620    5620    5920    5720    5820    5620    5920    62
20    6620    6520    6620    6220    6020    5520    6020    6120    5820    59
20    5620    5920    6720    7320    9820   14520   18220   18720   17020   128
20    8320    7020    6820    7020    6920    7120    7420    8420   10920   194
20   40020   65220   77020   75320   59220   34720   16220    9520    8020    75
20    7120    6820    7320    6820    7020    7920    9820   12020   12920   126
20   10620    8220    6920    6520    6220    6220    5720    5720    6120    64
20    5920    5820    5920    5720    6020    5920    5820    5820    6120    57
20    5920    6020    5920    5820    5820    5820    5620    5920    5820    57
20    5920    5920    5720    5720    5820    5920    5920    5820    6120    62
20    6120    7120    9620   10820   11720   11920   10120    7920    6520    59
20    5920    5920    6120    6020    5720    6120    6420    8420    9920   107
20   10720    9620    7620    6420    6020    5920    5820    5920    6020    59
20    5920    6420    7420    8520    9420    9620    8820    7420    6620    62
20    6020    5920    6320    6120    6020    6520    7120    8920   12120   139
20   14820   13120   10920    8620    6720    6620    6320    6120    6620    68
20    7620   10620   17720   27220   35120   35920   31820   21420   13020    85
20    7019    6419    6419    6319    6019    6519    6619    7019    7919    86
19    8219    7719    7119    6419    5919    6019    6019    6219    6019    61
19    6219    6719    8019    9219    9619    9119    7919    7019    6019    56
19    5919    5719    5719    5719    5519    5519    5719    5719    5719    58
19    5519    5419    5719    5719    5619    5619    5619    5519    5819    59
19    5819    6519    7419    8419    8719    8219    7019    5819    5519    56
19    5818    5618    5818    5718    6018    6618    7218    8418    8518    84
18    7718    6818    6618    5718    5518    5518    5418    5718    5518    57
18    5318    5718    5618    5718    5618    5618    5418    5518    5918    56
18    5718    5718    5718    6018    7018    9418   11618   13718   14118   121
18    9318    7318    6418    5618    6018    5718    5818    5518    5518    55
18    5418    5518    5318    5618    5318    5618    5518    5518    5718    57
